ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_099_SRF_0.22-3_G	TARA_099_SRF	Pico	SRF	Trades	SPO	-21.146	-104.787	5	67	23.88925	36.1376	0.2975	0.0315	0.558	0.091415	0	0	0	0	0
TARA_100_DCM_0.22-3_G	TARA_100_DCM	Pico	DCM	Trades	SPO	-12.9945	-95.9855	180	44	12.821535	34.83335	2.68675	23.251	20.9015	0.045442	0	0	0	0	0
TARA_100_SRF_0.22-3_G	TARA_100_SRF	Pico	SRF	Trades	SPO	-13.3194	-96.4768	2	NA	25.321065	35.830755	0.67725	6.1625	1.15025	0.238694	0	0	0	0	0
TARA_102_DCM_0.22-3_G	TARA_102_DCM	Pico	DCM	Trades	SPO	-5.2692	-85.2121	40	34	19.781235	34.884385	1.8615	24.3645	10.5045	0.365239	0	0	0	0	0
TARA_102_SRF_0.22-3_G	TARA_102_SRF	Pico	SRF	Trades	SPO	-5.2529	-85.1545	5	24	24.958885	34.764535	1.02575	12.8225	5.04425	0.264409	0	0	0	0	0
TARA_109_DCM_0.22-3_G	TARA_109_DCM	Pico	DCM	Coastal	NPO	2.0422	-84.57	30	17	25.99385	34.452685	0.50475	4.638	3.225	0.338017	0	0	0	0	0
TARA_109_SRF_0.22-3_G	TARA_109_SRF	Pico	SRF	Coastal	NPO	1.9928	-84.5766	5	15	27.497475	33.472445	0.2865	0.8935	1.7085	0.272009	0	0	0	0	0
TARA_110_DCM_0.22-3_G	TARA_110_DCM	Pico	DCM	Trades	SPO	-1.9245	-84.6182	50	26	22.039785	35.112815	0.9295	10.701	5.407	0.282031	0	0	0	0	0
TARA_110_SRF_0.22-3_G	TARA_110_SRF	Pico	SRF	Trades	SPO	-2.0133	-84.589	5	33	23.88816	35.012435	0.77275	8.287	3.8635	0.246175	0	0	0	0	0
TARA_111_DCM_0.22-3_G	TARA_111_DCM	Pico	DCM	Trades	SPO	-16.9559	-100.7138	90	73	19.823695	35.69578	0.443	1.2215	0.9285	0.204542	0	0	0	0	0
TARA_111_SRF_0.22-3_G	TARA_111_SRF	Pico	SRF	Trades	SPO	-16.9604	-100.6302	5	73	22.78183	35.98269	0.5	2.676	1.0325	0.154999	0	0	0	0	0
TARA_112_DCM_0.22-3_G	TARA_112_DCM	Pico	DCM	Trades	SPO	-23.2488	-129.4608	165	127	21.65917	35.90061	0.115	0.0535	0.6795	0.136066	0	0	0	0	0
