ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_098_SRF_0.22-3_G	TARA_098_SRF	Pico	SRF	Trades	SPO	-26.7219	-110.0423	2	NA	25.165975	36.382975	NA	NA	NA	0.085574	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_099_SRF_0.22-3_G	TARA_099_SRF	Pico	SRF	Trades	SPO	-21.146	-104.787	5	67	23.88925	36.1376	0.2975	0.0315	0.558	0.091415	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_100_DCM_0.22-3_G	TARA_100_DCM	Pico	DCM	Trades	SPO	-12.9945	-95.9855	180	44	12.821535	34.83335	2.68675	23.251	20.9015	0.045442	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_100_SRF_0.22-3_G	TARA_100_SRF	Pico	SRF	Trades	SPO	-13.3194	-96.4768	2	NA	25.321065	35.830755	0.67725	6.1625	1.15025	0.238694	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_102_DCM_0.22-3_G	TARA_102_DCM	Pico	DCM	Trades	SPO	-5.2692	-85.2121	40	34	19.781235	34.884385	1.8615	24.3645	10.5045	0.365239	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_102_SRF_0.22-3_G	TARA_102_SRF	Pico	SRF	Trades	SPO	-5.2529	-85.1545	5	24	24.958885	34.764535	1.02575	12.8225	5.04425	0.264409	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_DCM_0.22-3_G	TARA_109_DCM	Pico	DCM	Coastal	NPO	2.0422	-84.57	30	17	25.99385	34.452685	0.50475	4.638	3.225	0.338017	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_109_SRF_0.22-3_G	TARA_109_SRF	Pico	SRF	Coastal	NPO	1.9928	-84.5766	5	15	27.497475	33.472445	0.2865	0.8935	1.7085	0.272009	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_110_DCM_0.22-3_G	TARA_110_DCM	Pico	DCM	Trades	SPO	-1.9245	-84.6182	50	26	22.039785	35.112815	0.9295	10.701	5.407	0.282031	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_110_SRF_0.22-3_G	TARA_110_SRF	Pico	SRF	Trades	SPO	-2.0133	-84.589	5	33	23.88816	35.012435	0.77275	8.287	3.8635	0.246175	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_111_DCM_0.22-3_G	TARA_111_DCM	Pico	DCM	Trades	SPO	-16.9559	-100.7138	90	73	19.823695	35.69578	0.443	1.2215	0.9285	0.204542	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_111_SRF_0.22-3_G	TARA_111_SRF	Pico	SRF	Trades	SPO	-16.9604	-100.6302	5	73	22.78183	35.98269	0.5	2.676	1.0325	0.154999	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_112_DCM_0.22-3_G	TARA_112_DCM	Pico	DCM	Trades	SPO	-23.2488	-129.4608	165	127	21.65917	35.90061	0.115	0.0535	0.6795	0.136066	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_112_SRF_0.22-3_G	TARA_112_SRF	Pico	SRF	Trades	SPO	-23.2811	-129.3947	5	134	24.26287	36.43917	0.14225	0.02525	0.7425	0.055382	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_DCM_0.22-3_G	TARA_122_DCM	Pico	DCM	Trades	SPO	-8.9966	-139.202	115	106	24.778725	36.065045	0.582933	2.67775	1.907042	0.198146	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_122_SRF_0.22-3_G	TARA_122_SRF	Pico	SRF	Trades	SPO	-8.9971	-139.1963	5	102	26.60467	35.37032	0.56795	5.456	2.1905	0.177137	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_123_SRF_0.22-3_G	TARA_123_SRF	Pico	SRF	Trades	SPO	-8.9068	-140.283	5	122	26.586685	35.3551	0.53495	4.9015	2.2205	0.181215	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_124_SRF_0.22-3_G	TARA_124_SRF	Pico	SRF	Trades	SPO	-8.8517	-140.5782	5	105	26.572419	35.384031	0.63025	6.2015	2.53325	0.261381	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_125_SRF_0.22-3_G	TARA_125_SRF	Pico	SRF	Trades	SPO	-8.9111	-142.5571	5	109	26.80604	35.42651	0.55725	3.7335	1.80475	0.178072	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_128_DCM_0.22-3_G	TARA_128_DCM	Pico	DCM	Trades	SPO	5e-4	-153.6755	40	64	26.139288	35.146525	0.54925	5.264	2.7405	0.28262	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_128_SRF_0.22-3_G	TARA_128_SRF	Pico	SRF	Trades	SPO	0.0138	-153.6393	5	71	26.218438	35.129025	0.53975	5.0815	2.668	0.25349	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_132_DCM_0.22-3_G	TARA_132_DCM	Pico	DCM	Westerlies	NPO	31.4949	-159.0561	115	51	15.304405	34.38819	0.1252	0.047	4.4468	0.156908	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_132_SRF_0.22-3_G	TARA_132_SRF	Pico	SRF	Westerlies	NPO	31.5213	-158.9958	5	42	25.164595	35.19025	0.0062	0.01	2.4278	0.101563	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_133_DCM_0.22-3_G	TARA_133_DCM	Pico	DCM	Westerlies	NPO	35.4068	-127.7432	45	11	13.874505	33.208145	0.43225	0.92875	2.65725	0.389715	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_133_SRF_0.22-3_G	TARA_133_SRF	Pico	SRF	Westerlies	NPO	35.3671	-127.7422	5	11	19.24802	33.07013	0.2925	0.011	1.95475	0.140785	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_137_DCM_0.22-3_G	TARA_137_DCM	Pico	DCM	Trades	NPO	14.1749	-116.7071	100	28	13.066005	34.682975	2.655	24.1655	30.188	0.140964	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_137_SRF_0.22-3_G	TARA_137_SRF	Pico	SRF	Trades	NPO	14.2022	-116.6291	5	29	26.478605	33.84798	0.456	2.444	2.538	0.251665	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_138_DCM_0.22-3_G	TARA_138_DCM	Pico	DCM	Trades	NPO	6.3094	-102.9606	60	43	19.279945	34.616675	1.108	12.904	8.073	0.22573	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_138_SRF_0.22-3_G	TARA_138_SRF	Pico	SRF	Trades	NPO	6.3332	-102.9432	5	45	26.605515	33.52041	0.1575	0.002	1.1855	0.125361	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_140_SRF_0.22-3_G	TARA_140_SRF	Pico	SRF	Coastal	NPO	7.4122	-79.3017	5	26	26.555663	28.922675	0.09345	0.00275	0.63375	0.182274	0	0	0	0	0	0	0.03890599460847254	0.03258477905332629	0.018887920619456298	0.0341663587294159	0	0	0
TARA_141_SRF_0.22-3_G	TARA_141_SRF	Pico	SRF	Coastal	NAO	9.8491	-80.0384	5	34	27.1673	34.80515	0.0132	5e-4	1.1195	0.094165	0	0	0	0	0	0	0	0	0	0	0	0	0
